Outcome, Magnitude, Theta
1, 8.21525e+21, 0.900817
1, 1.41315e+22, 0.616452
1, 5.51107e+21, 0.551919
0, 4.04017e+22, 0.78202
0, 2.24296e+22, 0.923346
0, 4.23095e+22, 1.31039
1, 8.70345e+21, 1.41518
0, 2.55978e+22, 0.408104
0, 3.22201e+22, 0.48159
0, 4.85319e+22, 1.05641
0, 4.55239e+22, 1.3521
0, 4.61644e+22, 0.839826
0, 4.61737e+22, 1.56456
0, 4.67989e+22, 0.976876
0, 4.73352e+22, 1.18212
0, 4.06799e+22, 0.736846
1, 3.7268e+22, 0.0394727
0, 2.66392e+22, 1.38981
0, 4.26963e+22, 1.4625
0, 4.73086e+22, 1.3093
0, 1.08878e+22, 0.882777
1, 5.34623e+21, 0.908637
0, 4.93605e+22, 1.20444
0, 2.07324e+22, 0.24326
1, 1.50133e+22, 0.175
0, 3.26666e+22, 0.0259329
0, 3.56792e+22, 1.07468
0, 3.31625e+22, 1.17719
1, 6.44417e+21, 0.28508
0, 1.31751e+22, 1.05267
0, 2.62291e+22, 0.850148
0, 3.9071e+22, 1.51433
0, 3.96619e+22, 0.896667
1, 1.13932e+22, 1.35328
0, 4.82188e+22, 0.60452
0, 4.81095e+22, 0.819912
1, 5.69346e+21, 0.265513
0, 4.70178e+22, 0.47593
1, 1.32226e+22, 0.0500264
0, 3.45652e+22, 0.910295
0, 1.23495e+22, 1.52395
0, 2.94313e+22, 1.39795
0, 3.82761e+22, 1.27713
0, 2.56613e+22, 0.49679
0, 4.75952e+22, 0.794567
1, 2.23025e+22, 0.463949
0, 2.43744e+22, 0.969053
0, 3.80339e+22, 0.900834
0, 3.51994e+22, 0.978605
0, 3.78572e+22, 1.50607
0, 3.08762e+22, 0.991138
1, 2.41929e+22, 0.812291
0, 4.56449e+22, 1.01073
0, 2.45051e+22, 1.46711
1, 1.86766e+22, 0.8193
0, 3.84655e+22, 0.629404
0, 3.90127e+22, 0.868968
1, 9.63734e+21, 0.154205
0, 4.60827e+22, 1.05492
0, 3.51033e+22, 0.769135
1, 7.20744e+21, 0.698038
0, 3.51971e+22, 0.38445
0, 2.57748e+22, 0.107011
0, 3.84796e+22, 0.666211
1, 4.34791e+22, 0.0965339
0, 4.69478e+22, 1.45434
0, 4.26056e+22, 0.43233
0, 3.65565e+22, 1.43499
1, 7.847e+21, 0.794163
0, 4.19073e+22, 0.0601323
0, 4.44288e+22, 0.175104
0, 2.21033e+22, 0.985747
1, 8.77653e+21, 0.105523
0, 3.26343e+22, 0.715635
0, 6.81082e+21, 1.19697
0, 6.51623e+21, 0.82848
0, 4.93324e+22, 1.15023
0, 2.31848e+22, 0.0434824
0, 4.67926e+22, 0.547527
0, 9.04303e+21, 1.46504
0, 8.23479e+21, 1.52187
0, 2.1753e+22, 1.2481
1, 1.20046e+22, 0.877735
0, 8.90161e+21, 0.984163
0, 3.73336e+22, 1.08518
0, 1.9497e+22, 1.28267
0, 4.9017e+22, 1.21741
0, 1.7068e+22, 0.906703
1, 7.3228e+21, 0.127249
0, 4.15124e+22, 0.493747
1, 3.33927e+22, 0.0959107
0, 1.02727e+22, 1.47919
0, 4.92574e+22, 0.399922
0, 1.98777e+22, 0.738575
1, 8.28595e+21, 1.46043
1, 7.01626e+21, 0.0927147
0, 3.75905e+22, 0.590889
0, 4.38322e+22, 1.14293
0, 3.15388e+22, 1.30831
0, 3.28915e+22, 1.4184
1, 4.2596e+22, 0.0523473
0, 1.30915e+22, 1.34893
0, 7.4043e+21, 1.51666
0, 5.58077e+21, 1.56898
0, 3.74249e+22, 0.0832874
1, 1.06341e+22, 1.0893
0, 3.24427e+22, 0.907002
0, 4.14999e+22, 1.24365
0, 4.82991e+22, 1.40293
0, 2.26347e+22, 1.44542
0, 4.63307e+22, 0.0469384
0, 4.85767e+22, 0.911326
1, 1.72943e+22, 0.0618037
0, 2.00554e+22, 0.246249
0, 3.07308e+22, 1.12064
0, 1.49944e+22, 0.969635
0, 4.29289e+22, 1.35821
0, 4.99564e+22, 0.438238
0, 1.25591e+22, 0.62375
0, 3.91628e+22, 0.115414
0, 3.92246e+22, 0.924032
1, 1.25839e+22, 0.370386
0, 3.22743e+22, 1.33018
1, 5.61443e+21, 0.874372
0, 3.30931e+22, 0.806277
0, 2.85019e+22, 0.62479
0, 1.89528e+22, 1.11475
0, 1.70362e+22, 1.56864
0, 3.61385e+22, 1.33504
1, 9.64918e+21, 0.575428
0, 3.77468e+22, 1.46622
0, 2.78655e+22, 1.0981
0, 2.78468e+22, 0.693647
0, 4.76656e+22, 0.8401
1, 2.55524e+22, 0.275066
0, 1.51843e+22, 0.925344
0, 3.81282e+22, 1.55842
0, 2.02219e+22, 0.153642
0, 9.84351e+21, 0.909368
1, 3.08126e+22, 0.193483
0, 6.75823e+21, 0.791596
0, 2.90146e+22, 0.564069
1, 2.17786e+22, 0.676237
0, 2.17411e+22, 0.558443
0, 2.26822e+22, 1.04176
0, 4.67211e+22, 0.494471
0, 3.40141e+22, 1.15297
1, 7.17348e+21, 0.209195
0, 4.91078e+22, 0.882106
1, 1.0617e+22, 0.861853
0, 3.75076e+22, 1.355
0, 3.60062e+22, 0.978715
0, 4.84758e+22, 0.736424
0, 3.32031e+22, 1.21887
0, 3.01125e+22, 0.604549
1, 2.31763e+22, 0.284342
0, 3.29451e+22, 1.39027
0, 3.47645e+22, 0.181716
1, 5.01944e+21, 1.36727
1, 1.0132e+22, 0.0784832
0, 2.86297e+22, 1.34042
0, 3.51491e+22, 0.00508073
0, 3.82768e+22, 0.56028
0, 4.77779e+22, 1.3373
0, 2.73561e+22, 1.00249
0, 4.43701e+22, 0.74118
0, 2.36071e+22, 0.000390915
0, 6.8508e+21, 1.0396
1, 7.80884e+21, 0.342202
0, 2.0245e+22, 0.707924
0, 1.39116e+22, 0.973911
1, 1.65564e+22, 0.272872
0, 4.53371e+22, 1.09532
0, 2.58413e+22, 0.812222
0, 4.60782e+22, 1.39821
0, 3.91032e+22, 0.815927
1, 1.48197e+22, 0.64389
0, 4.56821e+22, 0.351069
1, 2.12079e+22, 0.788545
0, 4.82552e+22, 0.765366
0, 1.34298e+22, 0.681001
1, 1.22856e+22, 0.423294
0, 4.32132e+22, 0.960007
0, 3.93102e+22, 1.49749
0, 2.994e+22, 0.468042
1, 1.30881e+22, 0.0736365
0, 2.05798e+22, 0.901211
0, 2.42992e+22, 0.77788
0, 2.77467e+22, 0.538171
0, 3.70414e+22, 0.663868
0, 5.42627e+21, 1.43351
0, 3.80104e+22, 1.53903
1, 8.4577e+21, 0.222555
1, 1.81921e+22, 0.130711
1, 1.36538e+22, 0.0702969
0, 1.83764e+22, 0.707496
0, 3.39992e+22, 0.38101
0, 4.47239e+22, 0.109703
0, 2.48692e+22, 0.958037
0, 1.54452e+22, 0.92133
0, 2.34652e+22, 0.731073
0, 3.40657e+22, 0.351761
1, 1.7794e+22, 0.45106
0, 4.5575e+22, 0.757732
1, 2.34735e+22, 0.509364
0, 3.83835e+22, 0.983205
0, 1.85732e+22, 0.555675
0, 1.25934e+22, 1.29773
1, 2.12772e+22, 0.00710166
1, 3.43597e+22, 0.0982607
0, 3.17249e+22, 1.37268
1, 1.83108e+22, 0.305846
1, 1.5396e+22, 0.89758
0, 4.77271e+22, 0.930412
1, 1.72378e+22, 0.522824
0, 2.19871e+22, 0.970206
0, 3.88535e+22, 1.47964
0, 4.02041e+22, 1.53133
1, 1.69613e+22, 0.69904
0, 1.94154e+22, 1.01342
1, 2.88619e+22, 0.132106
1, 9.70981e+21, 0.0860417
1, 9.23708e+21, 0.685843
1, 9.50615e+21, 1.0822
0, 2.98004e+22, 1.20742
1, 5.59069e+21, 0.361466
0, 3.04201e+22, 0.918039
0, 7.54613e+21, 1.37049
1, 1.92104e+22, 0.296094
0, 3.88775e+22, 0.707065
1, 2.45601e+22, 0.0124179
0, 4.94923e+22, 1.15897
0, 2.50912e+22, 0.435532
0, 2.78148e+22, 0.59778
0, 3.73431e+22, 0.860353
1, 1.40499e+22, 0.363264
0, 3.30977e+22, 0.773982
